neg_balance	min_balance	default
0.0	0.0	0.0
0.0	0.0	0.0
9.0	-24242.1	0.0
0.0	0.0	0.0
0.0	0.0	0.0
44.0	-15388.199999999997	1.0
1.0	-25197.4	0.0
1.0	-25197.4	0.0
1.0	-5664.800000000003	0.0
1.0	-5664.800000000003	0.0
4.0	-10168.9	0.0
4.0	-10168.9	0.0
0.0	0.0	0.0
26.0	-20890.4	1.0
1.0	-19600.4	0.0
9.0	-16917.6	0.0
1.0	-14985.699999999997	0.0
1.0	-1793.5999999999985	0.0
0.0	0.0	0.0
2.0	-2772.7999999999993	0.0
3.0	-15205.099999999999	0.0
0.0	0.0	0.0
165.0	-26954.4	1.0
1.0	-1770.7000000000007	0.0
1.0	-3324.4000000000015	0.0
0.0	0.0	0.0
1.0	-4975.9000000000015	0.0
1.0	-16.399999999999636	0.0
1.0	-128.90000000000146	0.0
6.0	-48706.0	0.0
1.0	-5863.699999999997	0.0
1.0	-13813.0	0.0
17.0	-14243.8	0.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-24024.2	0.0
8.0	-7697.4	0.0
8.0	-7697.4	0.0
5.0	-33076.5	0.0
1.0	-1015.0	0.0
1.0	-1015.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
2.0	-10970.3	0.0
2.0	-10970.3	0.0
1.0	-2294.9000000000015	0.0
2.0	-662.2999999999993	0.0
1.0	-12576.099999999999	0.0
1.0	-12576.099999999999	0.0
1.0	-17629.6	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
17.0	-25757.3	0.0
8.0	-32297.5	0.0
1.0	-1153.7000000000007	0.0
0.0	0.0	0.0
0.0	0.0	0.0
4.0	-42499.4	0.0
3.0	-12051.400000000001	0.0
3.0	-12051.400000000001	0.0
2.0	-3534.8	0.0
1.0	-7089.199999999997	0.0
1.0	-2880.300000000003	0.0
1.0	-2880.300000000003	0.0
1.0	-17210.6	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
2.0	-5600.7	0.0
1.0	-8677.4	0.0
19.0	-23669.5	1.0
3.0	-1926.0999999999985	0.0
3.0	-1926.0999999999985	0.0
0.0	0.0	0.0
21.0	-15876.4	1.0
4.0	-11707.099999999999	0.0
4.0	-11707.099999999999	0.0
2.0	-10627.2	0.0
2.0	-10627.2	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
2.0	-16648.0	0.0
26.0	-43771.5	1.0
21.0	-18498.5	1.0
0.0	0.0	0.0
7.0	-57122.7	0.0
1.0	-2700.3999999999996	0.0
52.0	-70192.3	1.0
1.0	-4072.5	0.0
1.0	-5880.5999999999985	0.0
1.0	-5880.5999999999985	0.0
11.0	-3264.0	0.0
1.0	-256.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
3.0	-12753.7	0.0
3.0	-12753.7	0.0
2.0	-13686.0	0.0
2.0	-13686.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-604.7000000000007	0.0
2.0	-15934.5	0.0
10.0	-4798.4	0.0
0.0	0.0	0.0
1.0	-11247.300000000003	0.0
3.0	-3747.0	0.0
134.0	-20020.8	1.0
0.0	0.0	0.0
0.0	0.0	0.0
32.0	-13962.7	1.0
2.0	-447.5	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
2.0	-5398.700000000001	0.0
2.0	-9060.2	0.0
2.0	-9060.2	0.0
29.0	-19796.0	1.0
1.0	-8935.199999999997	0.0
1.0	-8457.1	0.0
0.0	0.0	0.0
0.0	0.0	0.0
8.0	-4389.9	0.0
1.0	-141.60000000000036	0.0
0.0	0.0	0.0
4.0	-65798.7	0.0
8.0	-58931.4	1.0
0.0	0.0	0.0
4.0	-25148.6	0.0
1.0	-37274.8	0.0
71.0	-23837.2	1.0
0.0	0.0	0.0
3.0	-7102.0	0.0
37.0	-8657.8	1.0
3.0	-17007.9	0.0
3.0	-17007.9	0.0
0.0	0.0	0.0
3.0	-9226.5	0.0
9.0	-12344.599999999999	0.0
1.0	-15858.5	0.0
1.0	-15858.5	0.0
5.0	-10479.599999999999	0.0
24.0	-45097.9	1.0
1.0	-4316.5	0.0
1.0	-7013.5	0.0
3.0	-7131.3	0.0
2.0	-3606.0999999999985	0.0
2.0	-3606.0999999999985	0.0
3.0	-7828.9000000000015	0.0
3.0	-7828.9000000000015	0.0
0.0	0.0	0.0
0.0	0.0	0.0
2.0	-14682.3	0.0
2.0	-2996.9000000000015	0.0
6.0	-7014.6	0.0
6.0	-7014.6	0.0
2.0	-8539.800000000003	0.0
2.0	-8539.800000000003	0.0
3.0	-27993.2	0.0
3.0	-27993.2	0.0
1.0	-15801.0	0.0
30.0	-72978.9	1.0
2.0	-11555.3	0.0
0.0	0.0	0.0
0.0	0.0	0.0
8.0	-22118.5	0.0
1.0	-8283.5	0.0
0.0	0.0	0.0
0.0	0.0	0.0
2.0	-25003.699999999997	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
44.0	-16769.6	1.0
11.0	-25189.8	0.0
1.0	-7867.5	0.0
1.0	-7867.5	0.0
2.0	-1413.1000000000004	0.0
10.0	-21566.7	0.0
0.0	0.0	0.0
1.0	-18927.699999999997	0.0
6.0	-4544.9	0.0
0.0	0.0	0.0
0.0	0.0	0.0
5.0	-7436.6	0.0
5.0	-7436.6	0.0
0.0	0.0	0.0
0.0	0.0	0.0
20.0	-9503.7	1.0
1.0	-2449.3999999999996	0.0
2.0	-4808.299999999999	0.0
2.0	-4808.299999999999	0.0
3.0	-9447.099999999999	0.0
3.0	-9447.099999999999	0.0
0.0	0.0	0.0
24.0	-22488.7	1.0
1.0	-1287.7000000000007	0.0
3.0	-12225.099999999999	0.0
8.0	-25553.0	0.0
1.0	-5540.0999999999985	0.0
1.0	-32122.9	0.0
0.0	0.0	0.0
3.0	-29876.9	0.0
1.0	-1217.2000000000007	0.0
0.0	0.0	0.0
12.0	-32240.4	1.0
3.0	-6793.800000000003	0.0
3.0	-6793.800000000003	0.0
3.0	-10790.800000000003	0.0
0.0	0.0	0.0
9.0	-22919.2	1.0
1.0	-28107.3	0.0
0.0	0.0	0.0
9.0	-15809.699999999997	0.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-2449.5	0.0
1.0	-2055.1000000000004	0.0
4.0	-4116.799999999999	0.0
4.0	-4116.799999999999	0.0
0.0	0.0	0.0
0.0	0.0	0.0
18.0	-14967.1	1.0
0.0	0.0	0.0
1.0	-12290.5	0.0
1.0	-12290.5	0.0
2.0	-2537.800000000003	0.0
1.0	-2037.9000000000015	0.0
16.0	-20534.800000000003	1.0
6.0	-9308.0	0.0
4.0	-42503.7	0.0
0.0	0.0	0.0
5.0	-13678.7	0.0
3.0	-19954.9	0.0
1.0	-4053.8999999999996	0.0
0.0	0.0	0.0
9.0	-8183.0999999999985	0.0
9.0	-8183.0999999999985	0.0
0.0	0.0	0.0
1.0	-1387.9000000000015	0.0
3.0	-5337.699999999997	0.0
3.0	-5337.699999999997	0.0
8.0	-15561.0	1.0
93.0	-33582.8	1.0
0.0	0.0	0.0
0.0	0.0	0.0
2.0	-13016.199999999997	0.0
2.0	-5594.0	0.0
2.0	-8821.5	0.0
2.0	-5310.5	0.0
0.0	0.0	0.0
0.0	0.0	0.0
3.0	-25271.0	0.0
1.0	-1589.5999999999985	0.0
1.0	-7808.4000000000015	0.0
1.0	-8666.599999999999	0.0
1.0	-2596.699999999997	0.0
1.0	-2596.699999999997	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
52.0	-31495.5	1.0
1.0	-413.2999999999993	0.0
23.0	-23523.7	1.0
1.0	-27078.0	0.0
0.0	0.0	0.0
2.0	-1823.800000000003	0.0
2.0	-1823.800000000003	0.0
1.0	-13796.900000000001	0.0
1.0	-4439.9000000000015	0.0
0.0	0.0	0.0
61.0	-22671.1	1.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-17205.9	0.0
1.0	-5075.300000000003	0.0
36.0	-19578.4	1.0
3.0	-8540.900000000001	0.0
17.0	-11068.0	1.0
1.0	-13623.7	0.0
1.0	-9841.300000000003	0.0
4.0	-7649.6	1.0
43.0	-28190.7	1.0
0.0	0.0	0.0
20.0	-11963.2	1.0
11.0	-10974.6	0.0
11.0	-10974.6	0.0
1.0	-10203.7	0.0
1.0	-10203.7	0.0
1.0	-16707.9	0.0
5.0	-44663.6	1.0
5.0	-37137.0	0.0
0.0	0.0	0.0
4.0	-8083.0999999999985	0.0
3.0	-17993.9	0.0
3.0	-14851.0	0.0
0.0	0.0	0.0
1.0	-7437.0999999999985	0.0
0.0	0.0	0.0
0.0	0.0	0.0
14.0	-9552.3	1.0
1.0	-7820.5	0.0
0.0	0.0	0.0
1.0	-22455.6	0.0
0.0	0.0	0.0
1.0	-8229.5	0.0
1.0	-8229.5	0.0
1.0	-824.9000000000015	0.0
19.0	-15492.800000000003	1.0
0.0	0.0	0.0
0.0	0.0	0.0
5.0	-13290.900000000001	0.0
1.0	-9752.400000000001	0.0
3.0	-7033.5999999999985	0.0
27.0	-50925.3	1.0
3.0	-21499.4	0.0
2.0	-16786.5	0.0
10.0	-9920.599999999999	0.0
0.0	0.0	0.0
0.0	0.0	0.0
10.0	-13229.4	0.0
0.0	0.0	0.0
23.0	-71242.4	1.0
0.0	0.0	0.0
1.0	-11025.8	0.0
12.0	-22246.699999999997	0.0
0.0	0.0	0.0
4.0	-14099.5	0.0
1.0	-2752.7999999999993	0.0
0.0	0.0	0.0
1.0	-11763.099999999999	0.0
1.0	-11763.099999999999	0.0
4.0	-10369.099999999999	0.0
4.0	-10369.099999999999	0.0
0.0	0.0	0.0
2.0	-5749.5999999999985	0.0
13.0	-16324.3	1.0
0.0	0.0	0.0
2.0	-3415.2000000000007	0.0
16.0	-10929.400000000001	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-11205.400000000001	0.0
1.0	-4316.5	0.0
0.0	0.0	0.0
0.0	0.0	0.0
7.0	-8171.3	0.0
7.0	-8171.3	0.0
1.0	-2681.0999999999985	0.0
0.0	0.0	0.0
1.0	-14821.8	0.0
1.0	-14821.8	0.0
56.0	-26460.9	1.0
9.0	-24548.4	0.0
0.0	0.0	0.0
16.0	-19470.7	0.0
0.0	0.0	0.0
4.0	-9654.099999999999	0.0
4.0	-9654.099999999999	0.0
1.0	-3412.3	0.0
1.0	-4250.8	0.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-18737.9	0.0
2.0	-2860.7999999999993	0.0
0.0	0.0	0.0
1.0	-5879.5999999999985	0.0
2.0	-12801.1	0.0
2.0	-12801.1	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-15637.599999999999	0.0
0.0	0.0	0.0
0.0	0.0	0.0
3.0	-20073.199999999997	0.0
2.0	-12991.5	0.0
1.0	-9473.900000000001	0.0
0.0	0.0	0.0
1.0	-4699.4	0.0
2.0	-19690.199999999997	0.0
6.0	-31007.3	0.0
3.0	-13150.599999999999	0.0
2.0	-9951.400000000001	0.0
2.0	-9951.400000000001	0.0
1.0	-12453.099999999999	0.0
1.0	-12453.099999999999	0.0
2.0	-6654.200000000001	0.0
34.0	-35743.2	1.0
4.0	-7883.0	0.0
0.0	0.0	0.0
1.0	-28395.2	0.0
1.0	-28395.2	0.0
0.0	0.0	0.0
1.0	-4171.700000000001	0.0
1.0	-2527.4000000000015	0.0
4.0	-2893.5	0.0
4.0	-2893.5	0.0
2.0	-32057.6	0.0
2.0	-22400.6	0.0
2.0	-22400.6	0.0
9.0	-5678.3	0.0
9.0	-5678.3	0.0
8.0	-15163.599999999999	1.0
1.0	-6114.199999999997	0.0
4.0	-48749.2	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-11750.7	0.0
9.0	-18310.6	0.0
4.0	-10916.8	0.0
4.0	-10916.8	0.0
14.0	-14634.6	1.0
14.0	-11368.2	1.0
0.0	0.0	0.0
1.0	-31731.3	0.0
1.0	-39.29999999999927	0.0
1.0	-7949.300000000003	0.0
1.0	-7949.300000000003	0.0
1.0	-281.7000000000007	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-29387.6	0.0
1.0	-29387.6	0.0
9.0	-17977.3	1.0
2.0	-24498.3	0.0
2.0	-24498.3	0.0
2.0	-2434.7000000000007	0.0
2.0	-2434.7000000000007	0.0
1.0	-12906.3	0.0
1.0	-4760.800000000003	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
2.0	-9093.8	0.0
4.0	-4159.9000000000015	0.0
4.0	-4159.9000000000015	0.0
0.0	0.0	0.0
0.0	0.0	0.0
11.0	-23467.800000000003	1.0
1.0	-2592.9000000000015	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
6.0	-2790.2999999999993	0.0
6.0	-2790.2999999999993	0.0
3.0	-5455.4	0.0
2.0	-11750.699999999997	0.0
4.0	-45269.4	0.0
1.0	-1152.699999999997	0.0
0.0	0.0	0.0
0.0	0.0	0.0
30.0	-15219.0	1.0
3.0	-30489.1	0.0
0.0	0.0	0.0
2.0	-3096.3999999999996	0.0
18.0	-4755.0	0.0
18.0	-4755.0	0.0
0.0	0.0	0.0
4.0	-7741.2	0.0
1.0	-12184.099999999999	0.0
1.0	-12184.099999999999	0.0
8.0	-2748.7	0.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-12750.199999999997	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-4076.7000000000007	0.0
2.0	-2659.699999999997	0.0
2.0	-2659.699999999997	0.0
4.0	-19444.1	0.0
33.0	-17169.8	1.0
0.0	0.0	0.0
1.0	-17976.8	0.0
1.0	-17976.8	0.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-52.09999999999991	0.0
1.0	-52.09999999999991	0.0
17.0	-19645.1	1.0
1.0	-8554.7	0.0
2.0	-9404.0	0.0
18.0	-8732.2	1.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
2.0	-9001.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
42.0	-19001.5	1.0
1.0	-44171.1	0.0
3.0	-13402.7	0.0
1.0	-14847.400000000001	0.0
1.0	-14847.400000000001	0.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-3645.5999999999985	0.0
0.0	0.0	0.0
0.0	0.0	0.0
2.0	-15114.0	0.0
2.0	-1893.1000000000004	0.0
2.0	-1893.1000000000004	0.0
1.0	-40.20000000000073	0.0
1.0	-6558.4000000000015	0.0
11.0	-18015.3	0.0
1.0	-10398.599999999999	0.0
1.0	-10398.599999999999	0.0
1.0	-8918.599999999999	0.0
0.0	0.0	0.0
1.0	-19967.1	0.0
0.0	0.0	0.0
1.0	-29957.9	0.0
1.0	-12458.400000000001	0.0
1.0	-12458.400000000001	0.0
1.0	-2715.300000000003	0.0
0.0	0.0	0.0
1.0	-2671.9000000000015	0.0
2.0	-1372.5	0.0
2.0	-1372.5	0.0
14.0	-32912.6	0.0
1.0	-32025.5	0.0
1.0	-32025.5	0.0
3.0	-849.4000000000015	0.0
3.0	-849.4000000000015	0.0
1.0	-8124.0	0.0
1.0	-1352.5999999999985	0.0
4.0	-12475.2	0.0
4.0	-12475.2	0.0
0.0	0.0	0.0
3.0	-24310.0	0.0
9.0	-12159.7	0.0
14.0	-25394.2	1.0
1.0	-1910.6000000000004	0.0
1.0	-1910.6000000000004	0.0
0.0	0.0	0.0
10.0	-8619.199999999997	0.0
10.0	-8619.199999999997	0.0
3.0	-4903.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-1140.2000000000007	0.0
1.0	-1140.2000000000007	0.0
23.0	-28937.4	1.0
1.0	-4141.5	0.0
1.0	-4141.5	0.0
3.0	-64593.9	0.0
0.0	0.0	0.0
3.0	-11401.099999999999	0.0
1.0	-191.59999999999854	0.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-1736.2999999999993	0.0
1.0	-281.40000000000146	0.0
1.0	-281.40000000000146	0.0
0.0	0.0	0.0
0.0	0.0	0.0
3.0	-15542.099999999999	0.0
0.0	0.0	0.0
7.0	-3941.5	0.0
7.0	-3941.5	0.0
1.0	-26817.5	0.0
2.0	-6507.5	0.0
1.0	-3338.5	0.0
1.0	-3338.5	0.0
2.0	-9657.599999999999	0.0
2.0	-9657.599999999999	0.0
1.0	-303.40000000000146	0.0
1.0	-303.40000000000146	0.0
3.0	-13674.099999999999	0.0
29.0	-23524.4	1.0
1.0	-9.599999999998545	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
6.0	-16939.6	0.0
2.0	-10380.199999999997	0.0
4.0	-6854.6	0.0
30.0	-14074.0	1.0
2.0	-9840.5	0.0
1.0	-5678.5	0.0
1.0	-16698.3	0.0
2.0	-989.1999999999998	0.0
2.0	-989.1999999999998	0.0
0.0	0.0	0.0
0.0	0.0	0.0
13.0	-33044.3	0.0
1.0	-6811.699999999997	0.0
1.0	-6811.699999999997	0.0
16.0	-7653.6	1.0
0.0	0.0	0.0
2.0	-1238.6999999999998	0.0
0.0	0.0	0.0
2.0	-856.5	0.0
1.0	-7734.5	0.0
1.0	-22456.1	0.0
1.0	-22456.1	0.0
11.0	-3569.8	1.0
2.0	-42608.3	0.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-49020.7	0.0
0.0	0.0	0.0
0.0	0.0	0.0
2.0	-5611.200000000001	0.0
1.0	-2802.300000000003	0.0
1.0	-927.7000000000007	0.0
2.0	-735.6000000000004	0.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-5780.200000000001	0.0
6.0	-13508.0	0.0
1.0	-5967.799999999999	0.0
0.0	0.0	0.0
6.0	-6135.1	0.0
3.0	-3554.5	0.0
3.0	-3554.5	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
34.0	-42709.6	1.0
2.0	-15274.900000000001	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-5404.0999999999985	0.0
1.0	-5404.0999999999985	0.0
7.0	-10335.099999999999	0.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-9266.900000000001	0.0
2.0	-11202.199999999997	0.0
1.0	-11383.699999999997	0.0
7.0	-6817.7	1.0
0.0	0.0	0.0
0.0	0.0	0.0
2.0	-2425.1000000000004	0.0
0.0	0.0	0.0
2.0	-25271.0	0.0
3.0	-19754.5	0.0
1.0	-13719.0	0.0
3.0	-14174.900000000001	0.0
3.0	-14174.900000000001	0.0
0.0	0.0	0.0
1.0	-2661.5	0.0
2.0	-65133.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
2.0	-1871.1999999999998	0.0
4.0	-11815.6	0.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-2079.9000000000015	0.0
0.0	0.0	0.0
1.0	-19533.800000000003	0.0
2.0	-29509.6	0.0
2.0	-29509.6	0.0
0.0	0.0	0.0
0.0	0.0	0.0
